Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,Volatility20,MA20,MA50,MA200,Month,Return_Bin,Daily Profit,Total Return,Max Daily Gain %,Max Daily Loss %
09-12-2024,24633.9,24705,24580.05,24619,248139308,25099.79,-0.238270835,,24144.79,24144.79,24144.79,2024-12,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
10-12-2024,24652.65,24677.8,24510.65,24610.05,261048951,26093.38,-0.036354036,,24173.86875,24173.86875,24173.86875,2024-12,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
11-12-2024,24620.5,24691.75,24583.85,24641.8,187252712,21592.23,0.129012334,,24201.39412,24201.39412,24201.39412,2024-12,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
12-12-2024,24604.45,24675.25,24527.95,24548.7,266051129,28235.17,-0.377813309,,24220.68889,24220.68889,24220.68889,2024-12,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
13-12-2024,24498.35,24792.3,24180.8,24768.3,310080852,30429.73,0.894548387,,24249.51053,24249.51053,24249.51053,2024-12,"(0.641, 0.994]",-1%,10%,26104.2,21743.65
16-12-2024,24753.4,24781.25,24601.75,24668.25,187551629,18608.23,-0.403943751,,24270.4475,24270.4475,24270.4475,2024-12,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
17-12-2024,24584.8,24624.1,24303.45,24336,264881033,26765.16,-1.346873005,0.00899184,24314.5575,24273.56905,24273.56905,2024-12,"(-1.478, -1.125]",1%,10%,26104.2,21743.65
18-12-2024,24297.95,24394.45,24149.85,24198.85,235346534,23315.92,-0.563568376,0.009143605,24348.575,24270.17273,24270.17273,2024-12,"(-0.772, -0.419]",0%,10%,26104.2,21743.65
19-12-2024,23877.15,24004.9,23870.3,23951.7,271128027,27815.23,-1.021329526,0.0093186,24378.665,24256.32609,24256.32609,2024-12,"(-1.125, -0.772]",0%,10%,26104.2,21743.65
20-12-2024,23960.7,24065.8,23537.35,23587.5,442714411,47084.68,-1.520560127,0.008390828,24362.6775,24228.45833,24228.45833,2024-12,"(-1.831, -1.478]",2%,10%,26104.2,21743.65
23-12-2024,23738.2,23869.55,23647.2,23753.45,189758237,18243.28,0.703550609,0.007961359,24339.255,24209.458,24209.458,2024-12,"(0.641, 0.994]",0%,10%,26104.2,21743.65
24-12-2024,23769.1,23867.65,23685.15,23727.65,177664746,16010.71,-0.108615801,0.007961311,24315.9125,24190.92692,24190.92692,2024-12,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
26-12-2024,23775.8,23854.5,23653.6,23750.2,177681783,16695.1,0.095036803,0.007911911,24289.6775,24174.6037,24174.6037,2024-12,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
27-12-2024,23801.4,23938.85,23800.6,23813.4,176821521,17164.99,0.266103022,0.007245583,24284.64,24161.70357,24161.70357,2024-12,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
30-12-2024,23796.9,23915.35,23599.3,23644.9,364929453,33823.95,-0.707584805,0.007056874,24260.33,24143.88276,24143.88276,2024-12,"(-0.772, -0.419]",1%,10%,26104.2,21743.65
31-12-2024,23560.6,23689.85,23460.45,23644.8,193627727,18646.79,-0.000422924,0.006868534,24228.7675,24127.24667,24127.24667,2024-12,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
01-01-2025,23637.65,23822.8,23562.8,23742.9,154921938,14266.26,0.414890378,0.006683847,24193.055,24114.84839,24114.84839,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
02-01-2025,23783,24226.7,23751.55,24188.65,283200811,32237.25,1.87740335,0.008071466,24179.115,24117.15469,24117.15469,2025-01,"(1.7, 2.053]",-2%,10%,26104.2,21743.65
03-01-2025,24196.4,24196.45,23976,24004.75,312279515,29411.99,-0.76027393,0.007828779,24143.9325,24113.74848,24113.74848,2025-01,"(-0.772, -0.419]",1%,10%,26104.2,21743.65
06-01-2025,24045.8,24089.95,23551.9,23616.05,278061806,25853.64,-1.619262854,0.008496711,24090.845,24099.11029,24099.11029,2025-01,"(-1.831, -1.478]",2%,10%,26104.2,21743.65
07-01-2025,23679.9,23795.2,23637.8,23707.9,262337253,22485.65,0.38893041,0.00860322,24045.29,24087.93286,24087.93286,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
08-01-2025,23746.65,23751.85,23496.15,23688.95,266375381,24718.54,-0.079931162,0.008599812,23999.235,24076.85,24076.85,2025-01,"(-0.419, -0.0656]",0%,10%,26104.2,21743.65
09-01-2025,23674.75,23689.5,23503.05,23526.5,269239831,26793.85,-0.685762771,0.008635129,23943.47,24061.97568,24061.97568,2025-01,"(-0.772, -0.419]",1%,10%,26104.2,21743.65
10-01-2025,23551.9,23596.6,23344.35,23431.5,261022434,25017.6,-0.40379997,0.008637701,23887.61,24045.38421,24045.38421,2025-01,"(-0.419, -0.0656]",1%,10%,26104.2,21743.65
13-01-2025,23195.4,23340.95,23047.25,23085.95,316481107,26890.37,-1.474724196,0.008640274,23803.4925,24020.78333,24020.78333,2025-01,"(-1.478, -1.125]",0%,10%,26104.2,21743.65
14-01-2025,23165.9,23264.95,23134.15,23176.05,311235510,31174.05,0.390280669,0.00879413,23728.8825,23999.665,23999.665,2025-01,"(0.288, 0.641]",0%,10%,26104.2,21743.65
15-01-2025,23250.45,23293.65,23146.45,23213.2,228039156,21587.78,0.160294787,0.008497652,23672.7425,23980.48293,23980.48293,2025-01,"(-0.0656, 0.288]",0%,10%,26104.2,21743.65
