Date,Open,High,Low,Close,Shares Traded,Turnover (₹ Cr),Daily_Return,MA20,MA50,MA200,Volatility20,Price_Change_%
20-12-2024,23960.7,24065.8,23537.35,23587.5,442714411,47084.68,-0.015205601,24362.6775,24228.45833,24228.45833,0.008390828,-1.557550489
23-12-2024,23738.2,23869.55,23647.2,23753.45,189758237,18243.28,0.007035506,24339.255,24209.458,24209.458,0.007961359,0.064242445
24-12-2024,23769.1,23867.65,23685.15,23727.65,177664746,16010.71,-0.001086158,24315.9125,24190.92692,24190.92692,0.007961311,-0.174386073
26-12-2024,23775.8,23854.5,23653.6,23750.2,177681783,16695.1,0.000950368,24289.6775,24174.6037,24174.6037,0.007911911,-0.107672507
27-12-2024,23801.4,23938.85,23800.6,23813.4,176821521,17164.99,0.00266103,24284.64,24161.70357,24161.70357,0.007245583,0.050417202
30-12-2024,23796.9,23915.35,23599.3,23644.9,364929453,33823.95,-0.007075848,24260.33,24143.88276,24143.88276,0.007056874,-0.638738659
31-12-2024,23560.6,23689.85,23460.45,23644.8,193627727,18646.79,-4.23E-06,24228.7675,24127.24667,24127.24667,0.006868534,0.357376298
01-01-2025,23637.65,23822.8,23562.8,23742.9,154921938,14266.26,0.004148904,24193.055,24114.84839,24114.84839,0.006683847,0.445264229
02-01-2025,23783,24226.7,23751.55,24188.65,283200811,32237.25,0.018774034,24179.115,24117.15469,24117.15469,0.008071466,1.705630072
03-01-2025,24196.4,24196.45,23976,24004.75,312279515,29411.99,-0.007602739,24143.9325,24113.74848,24113.74848,0.007828779,-0.792059976
06-01-2025,24045.8,24089.95,23551.9,23616.05,278061806,25853.64,-0.016192629,24090.845,24099.11029,24099.11029,0.008496711,-1.787214399
07-01-2025,23679.9,23795.2,23637.8,23707.9,262337253,22485.65,0.003889304,24045.29,24087.93286,24087.93286,0.00860322,0.118243743
08-01-2025,23746.65,23751.85,23496.15,23688.95,266375381,24718.54,-0.000799312,23999.235,24076.85,24076.85,0.008599812,-0.242981642
09-01-2025,23674.75,23689.5,23503.05,23526.5,269239831,26793.85,-0.006857628,23943.47,24061.97568,24061.97568,0.008635129,-0.626194574
10-01-2025,23551.9,23596.6,23344.35,23431.5,261022434,25017.6,-0.004038,23887.61,24045.38421,24045.38421,0.008637701,-0.51121141
13-01-2025,23195.4,23340.95,23047.25,23085.95,316481107,26890.37,-0.014747242,23803.4925,24020.78333,24020.78333,0.008640274,-0.4718608
14-01-2025,23165.9,23264.95,23134.15,23176.05,311235510,31174.05,0.003902807,23728.8825,23999.665,23999.665,0.00879413,0.0438144
15-01-2025,23250.45,23293.65,23146.45,23213.2,228039156,21587.78,0.001602948,23672.7425,23980.48293,23980.48293,0.008497652,-0.160211953
16-01-2025,23377.25,23391.65,23272.05,23311.8,299416081,29784.82,0.004247583,23628.39,23964.5619,23964.5619,0.008581926,-0.279973051
17-01-2025,23277.1,23292.1,23100.35,23203.2,272945267,27040.78,-0.004658585,23590.965,23946.85581,23946.85581,0.008383956,-0.317479411
20-01-2025,23290.4,23391.1,23170.65,23344.75,301455455,27333.97,0.006100452,23578.8275,23933.17159,23933.17159,0.007897363,0.23335795
21-01-2025,23421.65,23426.3,22976.85,23024.65,312871897,30106.72,-0.013711862,23542.3875,23912.98222,23912.98222,0.008213484,-1.695012947
22-01-2025,23099.15,23169.55,22981.3,23155.35,275951918,25462.05,0.005676525,23513.7725,23896.51196,23896.51196,0.008370203,0.243298996
23-01-2025,23128.3,23270.8,23090.65,23205.35,275558357,27723.78,0.002159328,23486.53,23881.80638,23881.80638,0.008390789,0.333141649
